beneficiary_id,age,area_type,occupation,estimated_monthly_income,asset_score,business_years,residence_years,shg_member,dependents,proposed_emi,first_time_borrower,risk_score,risk_bucket
B00095,27,Rural,Tailor,12618.0,1,12,22,1,1,2342,1,152.6561880507965,Medium
B00096,29,Rural,Agriculture,13235.0,1,22,34,1,3,2946,1,214.95027728993782,Low
B00097,28,Urban,Daily Wage Worker,11744.949999999999,0,22,37,0,5,2520,0,167.45917852870124,Low
B00098,32,Rural,Small Retail Shop,20477.0,1,19,17,1,3,3997,0,175.18362346907796,Low
B00099,54,Semi-Urban,Tailor,15245.0,2,3,15,1,3,2438,0,108.52737687416956,Medium
B00100,53,Rural,Daily Wage Worker,9722.0,0,13,29,1,3,5031,1,145.74620154664402,Medium
B00101,43,Rural,Daily Wage Worker,10040.0,0,21,34,0,5,2037,1,155.8924023158173,Low
B00102,44,Semi-Urban,Tailor,15401.0,1,22,22,0,2,6327,0,166.41968240220913,Low
B00103,57,Semi-Urban,Small Retail Shop,19099.0,2,15,27,1,4,1001,1,187.14808565422342,Low
B00104,55,Rural,Milk Vendor,14188.0,0,17,38,0,4,5497,1,152.91077106489158,Medium
B00105,60,Urban,Auto Driver,17070.6,2,11,15,0,5,1529,0,109.847706605969,Medium
B00106,42,Urban,Agriculture,12814.449999999999,1,23,21,1,1,5857,1,199.95333480806195,Low
B00107,47,Urban,Street Vendor,16024.099999999999,0,12,4,0,4,3129,0,64.8790287570593,High
B00108,55,Rural,Handloom Weaver,13215.0,0,17,18,1,4,5888,1,142.28563960377676,Medium
B00109,21,Rural,Street Vendor,13340.0,0,22,7,1,3,4554,1,146.0091359771153,Medium
B00110,55,Semi-Urban,Daily Wage Worker,9507.0,1,23,16,1,5,1898,1,173.15555733839864,Low
B00111,57,Semi-Urban,Agriculture,10616.0,2,5,35,0,2,2509,0,126.14528259847226,Medium
B00112,34,Rural,Small Retail Shop,20740.0,2,5,12,0,5,5664,1,80.34037581937727,High
B00113,23,Semi-Urban,Small Retail Shop,20161.0,1,7,7,1,5,6579,1,93.90577160711335,High
B00114,21,Rural,Small Retail Shop,19148.0,1,3,10,1,4,2845,1,84.12786523643022,High
B00115,25,Rural,Handloom Weaver,17253.0,0,3,1,1,3,4599,1,52.40199240052291,High
B00116,46,Rural,Handloom Weaver,16345.0,0,17,12,1,5,4475,0,129.5424357705727,Medium
B00117,34,Semi-Urban,Agriculture,10640.0,1,24,27,0,2,3180,1,180.78627765764853,Low
B00118,59,Rural,Milk Vendor,14607.0,1,2,28,0,3,3839,0,84.51115885131176,High
B00119,47,Semi-Urban,Daily Wage Worker,8827.0,0,15,18,1,3,2258,1,132.0042227485309,Medium
B00120,29,Semi-Urban,Small Retail Shop,21303.0,2,19,1,0,2,4756,0,132.10267034061857,Medium
B00121,35,Semi-Urban,Small Retail Shop,18844.0,2,23,23,1,2,1427,1,221.48095632227023,Low
B00122,35,Urban,Small Retail Shop,26142.949999999997,0,10,39,0,2,1343,1,142.32037092748868,Medium
B00123,46,Semi-Urban,Handloom Weaver,14629.0,1,11,17,0,5,2148,1,96.56344458117684,High
B00124,33,Urban,Milk Vendor,15298.449999999999,1,24,1,0,3,4694,0,129.81277524589078,Medium
B00125,52,Rural,Street Vendor,13264.0,0,9,38,0,3,4238,0,119.78704206693833,Medium
B00126,59,Rural,Milk Vendor,16138.0,1,14,4,1,1,5891,0,129.0689095846645,Medium
B00127,52,Rural,Handloom Weaver,16131.0,2,24,15,0,1,4451,1,180.9121849958734,Low
B00128,24,Rural,Street Vendor,15834.0,0,7,21,1,1,3682,0,116.63200549241952,Medium
B00129,50,Semi-Urban,Tailor,12556.0,0,10,21,1,5,6892,1,112.27515547108374,Medium
B00130,57,Rural,Agriculture,13063.0,2,1,22,0,5,5812,0,74.95486535199495,High
B00131,43,Semi-Urban,Tailor,16833.0,1,1,14,0,2,6134,1,58.01563435376216,High
B00132,59,Semi-Urban,Agriculture,9696.0,2,14,35,1,5,6224,0,185.85991571714143,Low
B00133,35,Semi-Urban,Small Retail Shop,22839.0,1,8,4,0,3,6645,1,72.30163631770768,High
B00134,49,Rural,Tailor,14469.0,1,14,35,1,3,5314,0,182.83450423422767,Low
B00135,56,Semi-Urban,Handloom Weaver,16278.0,1,7,32,0,4,6513,1,113.26541337151049,Medium
B00136,33,Rural,Daily Wage Worker,10479.0,1,18,28,1,4,3646,1,179.05614913369058,Low
B00137,52,Rural,Street Vendor,15574.0,0,23,12,1,5,1731,1,156.34984266203696,Low
B00138,27,Semi-Urban,Delivery Worker,18309.0,0,9,30,0,4,3347,1,105.01448247075807,High
B00139,42,Semi-Urban,Garment Manufacturer,26387.0,1,15,9,1,5,2868,0,140.03272755040703,Medium
B00140,48,Rural,Daily Wage Worker,8574.0,0,1,19,0,2,1163,1,44.34653004540526,High
B00141,22,Urban,Tailor,14970.699999999999,0,11,16,0,2,5991,1,89.54035667313667,High
B00142,26,Rural,Street Vendor,15058.0,1,19,30,0,4,2466,0,162.5403830123493,Low
B00143,48,Rural,Tailor,15420.0,0,10,1,1,5,5767,1,75.62271421429729,High
B00144,48,Rural,Tailor,13456.0,0,18,23,0,4,6484,0,127.16091048569119,Medium
B00145,40,Semi-Urban,Auto Driver,14116.0,1,22,12,1,3,5068,1,172.05598358782385,Low
B00146,50,Semi-Urban,Delivery Worker,19954.0,0,4,5,1,5,2539,0,60.65139152820177,High
B00147,31,Rural,Auto Driver,14831.0,0,18,20,0,1,6757,1,133.2159955652875,Medium
B00148,48,Rural,Auto Driver,16781.0,2,18,3,1,3,3816,0,153.9117867605872,Low
B00149,45,Semi-Urban,Milk Vendor,16982.0,0,22,2,1,5,6243,0,132.73084609334666,Medium
B00150,59,Rural,Handloom Weaver,13296.0,1,22,20,1,4,2233,0,183.45991376912113,Low
B00151,53,Rural,Handloom Weaver,16136.0,0,20,2,0,4,6652,1,96.87795925797877,High
B00152,21,Semi-Urban,Auto Driver,17079.0,0,12,35,1,4,3728,1,157.2561109069596,Low
B00153,47,Rural,Small Retail Shop,22880.0,2,9,4,0,5,1296,1,84.09757602423926,High
B00154,33,Urban,Milk Vendor,17427.1,2,18,36,1,4,4081,0,216.52876469469803,Low
B00155,23,Rural,Tailor,15186.0,0,6,6,1,5,3164,1,67.43792802940712,High
B00156,59,Semi-Urban,Delivery Worker,15823.0,0,23,14,0,5,2506,0,130.45437870771144,Medium
B00157,26,Rural,Auto Driver,18114.0,1,19,15,0,4,2923,0,135.03815681812753,Medium
B00158,28,Urban,Delivery Worker,21548.699999999997,0,20,37,0,2,3244,1,178.72480903557093,Low
B00159,47,Rural,Agriculture,9730.0,2,23,33,1,2,6803,1,232.78482428716615,Low
B00160,29,Semi-Urban,Milk Vendor,15954.0,2,15,19,1,3,3234,0,171.60016022749113,Low
B00161,57,Semi-Urban,Delivery Worker,17924.0,1,5,12,1,5,1677,1,92.17134000617818,High
B00162,53,Rural,Tailor,14270.0,0,11,9,0,4,4301,1,68.08894512060945,High
B00163,44,Rural,Agriculture,11818.0,1,13,19,1,4,5375,1,139.53184743041825,Medium
B00164,35,Semi-Urban,Small Retail Shop,21385.0,1,2,32,0,4,4735,1,95.74167539986273,High
B00165,52,Urban,Tailor,16438.1,0,8,28,1,2,6351,1,131.68300101452266,Medium
B00166,52,Rural,Garment Manufacturer,29916.0,1,11,28,0,1,6906,0,147.4023609377823,Medium
B00167,44,Rural,Handloom Weaver,16367.0,1,18,31,0,5,4187,1,157.80467621736426,Low
B00168,32,Semi-Urban,Daily Wage Worker,8170.0,0,10,36,0,3,5059,0,114.95194681623661,Medium
B00169,59,Rural,Street Vendor,12639.0,2,1,13,0,3,5694,0,63.05309971803101,High
B00170,22,Urban,Daily Wage Worker,14366.949999999999,0,4,33,0,3,2614,0,88.23933173501372,High
B00171,23,Semi-Urban,Small Retail Shop,22887.0,2,17,18,0,5,1596,1,148.08528867299026,Medium
B00172,57,Semi-Urban,Handloom Weaver,16149.0,2,17,29,0,5,2123,1,164.12227255807,Low
B00173,37,Rural,Delivery Worker,16730.0,1,5,39,1,3,4615,1,152.2484227802323,Medium
B00174,22,Rural,Milk Vendor,14707.0,1,23,8,0,3,5873,1,139.30912170658235,Medium
B00175,22,Semi-Urban,Tailor,16908.0,1,3,22,0,4,3874,1,75.589027503566,High
B00176,48,Urban,Handloom Weaver,17511.05,1,7,1,1,1,5909,0,93.3179811262281,High
B00177,43,Urban,Handloom Weaver,17549.0,2,5,31,0,2,2914,0,125.92349899757212,Medium
B00178,57,Rural,Auto Driver,16917.0,1,10,20,0,5,2823,0,99.92628197753722,High
B00179,52,Rural,Street Vendor,15380.0,2,24,36,0,1,3342,0,222.19807408108892,Low
B00180,53,Rural,Tailor,12648.0,0,7,23,1,3,5590,1,109.904287104546,Medium
B00181,21,Urban,Handloom Weaver,16355.3,2,17,17,0,3,6298,0,146.44428593473847,Medium
B00182,39,Rural,Auto Driver,17062.0,0,17,10,0,3,6775,1,103.48197754245265,High
B00183,22,Rural,Agriculture,14112.0,0,7,9,1,3,5390,0,83.69600961121222,High
B00184,46,Rural,Small Retail Shop,20916.0,2,6,17,0,4,5944,1,98.38589024337614,High
B00185,52,Rural,Small Retail Shop,21255.0,2,9,3,0,5,4811,0,80.77850878612962,High
B00186,26,Urban,Milk Vendor,14412.949999999999,0,8,33,0,3,3751,1,106.8040171239239,Medium
B00187,52,Semi-Urban,Milk Vendor,16279.0,2,14,1,0,3,2711,0,101.04921773867717,High
B00188,24,Rural,Handloom Weaver,15189.0,1,22,20,0,5,2561,1,152.27393511584725,Medium
B00189,31,Rural,Handloom Weaver,15882.0,0,6,2,0,2,3371,1,40.03471438906662,High
B00190,37,Rural,Tailor,14777.0,1,9,16,1,4,1621,0,118.90539071219486,Medium
B00191,58,Rural,Street Vendor,12547.0,0,20,9,0,4,4603,0,106.6376610381894,Medium
B00192,44,Rural,Handloom Weaver,16304.0,0,11,14,0,1,1151,0,90.4478382928697,High
B00193,25,Semi-Urban,Small Retail Shop,21566.0,2,11,1,0,4,2602,1,89.2250909604319,High
B00194,54,Rural,Delivery Worker,18938.0,0,8,35,0,1,5290,1,122.06310318054564,Medium
B00195,26,Rural,Handloom Weaver,13337.0,0,3,18,0,2,5913,1,56.52114255187221,High
B00196,42,Rural,Auto Driver,17081.0,0,11,1,1,5,3933,0,81.09173964100981,High
B00197,31,Semi-Urban,Small Retail Shop,20392.0,2,4,5,0,3,5597,1,68.71942613037585,High
B00198,36,Semi-Urban,Handloom Weaver,17978.0,0,23,11,1,1,3063,1,170.77783879929348,Low
B00199,53,Semi-Urban,Daily Wage Worker,12068.0,0,3,38,1,4,5318,1,117.78508508645815,Medium
B00200,29,Semi-Urban,Daily Wage Worker,11409.0,0,13,24,0,3,3720,0,107.49837636894637,Medium
B00201,26,Semi-Urban,Daily Wage Worker,9549.0,0,19,39,1,2,3419,0,196.63137331645262,Low
B00202,36,Rural,Street Vendor,15461.0,0,8,32,1,5,5079,0,128.82982522757646,Medium
B00203,49,Urban,Garment Manufacturer,31658.35,2,21,16,0,1,4672,0,185.00927126103224,Low
B00204,23,Rural,Auto Driver,16356.0,1,21,3,0,4,6234,1,118.82119746813284,Medium
B00205,40,Rural,Auto Driver,16102.0,0,24,8,0,3,4065,0,130.57639481962107,Medium
B00206,56,Semi-Urban,Small Retail Shop,20581.0,2,22,32,0,3,1570,0,203.09573451114068,Low
B00207,39,Rural,Delivery Worker,17934.0,0,21,22,1,3,5392,0,176.5895236048884,Low
B00208,46,Urban,Small Retail Shop,25677.199999999997,1,1,17,1,5,4262,0,92.02822600755458,High
B00209,23,Rural,Tailor,15588.0,0,21,27,1,1,5049,1,190.7284864868645,Low
B00210,39,Urban,Agriculture,15234.05,2,8,3,0,5,4389,1,70.4747828959856,High
B00211,40,Semi-Urban,Daily Wage Worker,9949.0,0,9,26,1,4,1083,0,119.16485858655294,Medium
B00212,52,Urban,Delivery Worker,20068.649999999998,1,6,35,0,1,1373,0,128.61965621196265,Medium
B00213,27,Urban,Agriculture,14452.05,2,11,13,0,2,1647,1,113.091311165173,Medium
B00214,53,Urban,Agriculture,11811.65,2,10,17,1,2,2282,1,143.88819891268216,Medium
B00215,60,Semi-Urban,Agriculture,12811.0,1,3,30,1,5,1909,1,114.40506767627436,Medium
B00216,59,Rural,Street Vendor,13729.0,1,8,29,0,5,3390,0,105.51539207566088,Medium
B00217,38,Rural,Handloom Weaver,16585.0,0,5,14,1,5,2056,0,80.14685157639501,High
B00218,60,Semi-Urban,Agriculture,12328.0,1,2,30,0,2,1247,0,90.01294083366965,High
B00219,21,Urban,Handloom Weaver,15342.15,1,16,37,0,2,2690,0,169.69145730200447,Low
B00220,31,Semi-Urban,Milk Vendor,17223.0,0,1,38,0,1,2802,1,94.5715058351372,High
B00221,48,Urban,Daily Wage Worker,10662.8,0,24,9,0,1,6984,0,133.91124516908155,Medium
B00222,45,Semi-Urban,Agriculture,10238.0,2,2,32,0,5,4857,0,96.09154786952847,High
B00223,43,Rural,Auto Driver,18590.0,0,3,4,1,3,1603,1,59.94002530544964,High
B00224,51,Rural,Handloom Weaver,16718.0,0,9,6,0,1,6608,0,66.32012959690567,High
B00225,50,Rural,Auto Driver,15737.0,0,17,1,1,2,5953,0,117.30715526951151,Medium
B00226,55,Rural,Auto Driver,16142.0,0,24,25,1,4,6469,0,190.48391669015766,Low
B00227,27,Semi-Urban,Garment Manufacturer,29545.0,1,12,38,0,3,4436,0,164.17605652507942,Low
B00228,36,Urban,Agriculture,13389.449999999999,1,2,3,1,2,6193,0,67.27031436606296,High
B00229,46,Semi-Urban,Milk Vendor,15952.0,1,24,21,1,3,4753,1,200.7820018868885,Low
B00230,22,Rural,Delivery Worker,16809.0,1,2,14,0,4,2282,1,55.276852462061214,High
B00231,21,Rural,Auto Driver,15997.0,0,23,30,0,5,3847,0,162.08418919419807,Low
B00232,32,Rural,Daily Wage Worker,10931.0,0,19,2,1,3,4619,1,120.4256805624659,Medium
B00233,25,Semi-Urban,Tailor,14692.0,0,20,22,1,4,3953,0,165.35003324963813,Low
B00234,57,Rural,Auto Driver,16796.0,1,17,13,0,4,4284,1,120.34060212760701,Medium
B00235,52,Rural,Daily Wage Worker,12695.0,0,17,25,1,3,4954,1,159.02732555762788,Low
B00236,29,Rural,Small Retail Shop,21690.0,0,13,11,1,3,3545,0,122.24669210576407,Medium
B00237,55,Rural,Daily Wage Worker,12443.0,0,12,10,0,3,1024,1,76.93932400832888,High
B00238,39,Urban,Street Vendor,18060.75,1,11,37,1,3,2469,0,176.8269641973571,Low
B00239,36,Rural,Delivery Worker,18958.0,0,11,25,1,5,2176,0,131.52489195396862,Medium
B00240,23,Rural,Small Retail Shop,20436.0,2,24,35,0,2,4528,1,221.64483339460625,Low
B00241,40,Rural,Garment Manufacturer,27184.0,1,8,19,0,1,3100,1,113.65280296366457,Medium
B00242,44,Rural,Daily Wage Worker,9384.0,0,18,28,1,5,5578,1,159.08564978955013,Low
B00243,53,Semi-Urban,Daily Wage Worker,9018.0,1,4,10,0,3,1235,0,51.67272945546265,High
B00244,44,Semi-Urban,Handloom Weaver,17111.0,0,18,15,0,4,4547,1,114.53673657890279,Medium
B00245,31,Rural,Milk Vendor,16440.0,0,15,32,1,5,6641,1,161.1800795868269,Low
B00246,28,Semi-Urban,Delivery Worker,16542.0,1,24,3,0,1,2613,1,142.13345879427519,Medium
B00247,56,Rural,Street Vendor,14046.0,1,7,24,1,1,5444,0,135.23041694518892,Medium
B00248,58,Semi-Urban,Auto Driver,15454.0,2,23,10,0,5,6248,0,152.07873627767145,Medium
B00249,60,Rural,Street Vendor,12702.0,0,15,30,0,4,4533,1,126.22612820907793,Medium
B00250,40,Rural,Garment Manufacturer,29420.0,1,19,33,0,4,1787,1,182.58015937595485,Low
B00251,55,Semi-Urban,Agriculture,13373.0,2,21,25,0,4,3533,1,173.93741075027455,Low
B00252,45,Semi-Urban,Agriculture,10976.0,2,17,39,0,2,2839,0,188.8449387925813,Low
B00253,55,Semi-Urban,Street Vendor,13124.0,0,10,39,1,4,4555,0,152.53924790568203,Medium
B00254,45,Rural,Garment Manufacturer,28777.0,1,11,25,1,1,5328,1,170.42014842349124,Low
B00255,49,Rural,Auto Driver,18531.0,1,14,38,1,3,3119,0,192.36126014447842,Low
B00256,38,Urban,Small Retail Shop,23108.1,1,4,12,1,3,3813,1,99.70239763349521,High
B00257,38,Rural,Milk Vendor,12600.0,0,4,4,0,1,4365,1,35.23962461593368,High
B00258,22,Rural,Milk Vendor,15548.0,1,1,28,1,4,3217,0,107.48973278469067,Medium
B00259,55,Rural,Street Vendor,11799.0,0,12,20,0,3,6371,0,95.8716567703376,High
B00260,36,Rural,Milk Vendor,13795.0,0,7,10,0,1,4415,0,62.730878082496254,High
B00261,56,Rural,Street Vendor,14804.0,2,5,31,1,4,1006,0,145.85888062102322,Medium
B00262,53,Rural,Agriculture,11775.0,1,1,19,0,2,3026,0,62.9756732733624,High
B00263,24,Rural,Daily Wage Worker,8647.0,1,21,2,0,3,4789,0,111.8369744584101,Medium
B00264,53,Urban,Small Retail Shop,22345.649999999998,2,24,4,1,4,5040,0,185.3367025908159,Low
B00265,34,Rural,Milk Vendor,14861.0,0,8,15,0,4,2043,0,67.0069452062855,High
B00266,41,Rural,Tailor,12723.0,0,18,38,1,3,4609,0,189.78601257446883,Low
B00267,40,Semi-Urban,Agriculture,9583.0,2,13,33,1,4,6208,0,181.02981775405064,Low
B00268,28,Semi-Urban,Garment Manufacturer,28486.0,0,17,18,1,5,1499,0,153.9528399305864,Low
B00269,27,Rural,Tailor,12549.0,0,2,32,0,5,3387,0,68.95205978410435,High
B00270,23,Semi-Urban,Handloom Weaver,15762.0,1,6,32,0,2,2079,1,115.3493398263657,Medium
B00271,37,Rural,Milk Vendor,15699.0,0,21,13,1,1,6829,1,163.55101814052287,Low
B00272,53,Semi-Urban,Street Vendor,14498.0,0,4,16,0,5,4838,1,47.71130529389793,High
B00273,32,Rural,Milk Vendor,15485.0,0,8,33,1,5,3502,0,130.57302211353885,Medium
B00274,42,Rural,Auto Driver,14211.0,1,15,34,1,2,4299,0,187.8267536192586,Low
